stmPedRampID,stmPedRampCrossingLinkID1,stmPedRampCrossingLinkID2,stmPedRampCrossingLinkID3,stmPedRampCrossingLinkID4,stmPedRampLongitudeVideoLinear,stmPedRampLatitudeVideoLinear,stmPedRampWidth,stmPedRampSlope,stmPedRampCrossSlope,stmPedRampGutterSlope,stmPedRampPassingWidth,stmPedRampPassingCrossSlope,stmPedRampFlareSlopeLeft,stmPedRampFlareSlopeRight,stmPedRampSmooth,stmPedRampFlushAtTop,stmPedRampFlushAtBottom,stmPedRampFlushAtStreet,stmPedRampWarningSurfacePresent,stmPedRampWarningSurfaceCondition,stmPedRampTransitionSlopeLeft,stmPedRampTransitionSlopeRight,stmPedRampLandingCrossSlope
212728817,1226031882,,,,-84.1033972,33.9508806,,,,,,,,,,,,,-999,,,,
212809314,1227433173,1227433174,,,-83.9936951,33.9491717,,,,,,,,,,,,,,,,,
212814728,1224615427,1225088141,,,-84.1980528,33.949327,,,,,-999,,,,,,,,-999,,,,
212817114,788014960,,,,-84.171999,33.9226154,,,,,,,,,,,,,,,,,
212823217,401459380,,,,-84.1000227,33.9846813,,,-999,,,,,,,,,,,,,,
212840844,1167196108,,,,-83.9811766,33.9515409,,,,,,,-999,-999,-999,,,,,-999,,,
212847635,1107979527,,,,-83.987041,33.9520782,,,,,,,,,,,,,-999,,,,
212866971,1215636400,,,,-84.0915679,33.9905292,,,,,,,,,,,,,,,,,
212896326,451716625,,,,-84.2348436,33.9502699,,,,,,,,,,,,,-999,,,,
212906527,1250103432,,,,-84.1959058,33.8997798,,,,,,,,,,,,,,,,,
212909938,1226026933,,,,-84.0355481,33.9681681,,,,,,,,,,,,,-999,,,,
212957126,787984340,1236748258,,,-84.2511494,33.9238496,,,,,,,,,,,,,,,,,
213021355,1251414014,,,,-84.2346886,33.9536376,,,,,,,,,,,,,,,,,
213030609,1215630695,,,,-84.1001919,33.9858845,,,,,,,,,,,,,,,,,
213033871,1218791078,1218794347,,,-84.0185453,33.9708665,,,,,,,,,,,,,-999,,,,
213064503,1233090520,1233095362,,,-84.0646281,33.9484069,,,,,,,,,,,,,,,,,
213092617,400814492,,,,-84.2155871,33.9802291,,,,,,,,,,,,,,,,,
213135403,1227193429,,,,-84.0257694,33.9805982,,,,,,,,,,,,,,,,,
213178676,1221601901,,,,-84.1141687,33.8940088,,,,,,,,,,,,,,,,,
213191225,1216291169,1216921984,,,-84.2099451,33.8925745,,,,,,,,,,,,,-999,,,,
213238040,1221574020,,,,-84.146559,33.894009,,,,,,,,,,,,,,,,,
213240325,1216329258,,,,-84.2201539,33.896192,,,,,,,,,,,,,,,,,
213259336,1225824111,,,,-84.1312412,33.9543852,,,,,,,,,,,,,,,,,
213294127,1215632385,,,,-84.0895822,34.0000365,,,,,,,-999,-999,-999,,,,-999,,,,
213309095,1219086372,,,,-84.1255779,33.9079133,,,,,,,,,,,,,,,,,
213336645,1223051939,1223051940,,,-84.2669663,33.9090598,,,,,,,,,-999,,,,,,,,
213377783,401013947,1221785206,,,-84.2339934,33.9536044,,,,,,,,,,,,,,,,,
213430792,401611602,,,,-84.0906226,33.9767393,,,,,,,,,,,,,-999,,,,
213448464,1215631304,,,,-84.0985458,33.9935581,,,,,,,,,,,,,-999,,,,
213485892,1219082543,1219082546,,,-84.15607,33.9059655,,,,,,,,,,,,,-999,,,,
213487775,1219620743,,,,-84.1774257,33.966302,,,,,,,,,,,,,,,,,
213493029,1217436912,1217436915,,,-84.1237429,33.9637975,,,,,,,,,,,,,-999,,,,
213525956,1220161999,,,,-84.1106112,33.9578769,,,,,,,,,,,,,,,,,
213532347,1221625826,,,,-84.0180258,33.9386713,,,,,,,,-999,-999,,,,-999,,,,
213549895,1225326332,,,,-84.2021717,33.9543013,-999,-999,,,,,,,,,,,-999,,,,
213597453,1226026932,,,,-84.0355127,33.9684384,,,,,,,,,,,,-999,,,,,
213614377,1233369548,,,,-84.0079266,33.9207813,,,,,,,,,,,,,,,,,
213635826,1221577600,1221577602,,,-84.2422847,33.9524473,,,,,,,,,,,,,,,,,
213669576,1218789662,,,,-84.021445,33.9694027,,,,,,,,,,,,,,,,,
