stmCrossingLinkID,stmPedRampID1,stmPedRampID2,stmPedRampID3,stmPedRampID4,RampCount
788014958,210255080,235010981,,,2
788014960,212817114,226899726,,,2
788014961,212406085,218516850,,,2
788014962,249262091,221793859,,,2
788014963,249312498,274472139,,,2
788014965,229809383,276220364,,,2
788014966,226666528,229205943,251570654,,3
788016819,233013602,280596787,,,2
788023267,215907483,217780045,,,2
788023268,226703274,283012955,,,2
788023269,254158339,254464107,,,2
788023270,283783103,225565961,,,2
788023273,227076346,298734229,,,2
788023274,222120540,298734229,,,2
788023275,255830141,218968479,,,2
788023276,222381457,232875009,,,2
643499402,,,,,
643827368,,,,,
643830795,,,,,
643864199,,,,,
643865713,,,,,
647337483,,,,,
647337485,,,,,
680165726,,,,,
680199323,,,,,
680199325,,,,,
680199329,,,,,
680199330,,,,,
722998318,,,,,
722998319,,,,,
723001968,,,,,
723001974,,,,,
723001975,,,,,
723001978,,,,,
787963859,,,,,
787963868,,,,,
787987703,,,,,
787987704,,,,,
787987705,,,,,
788012637,,,,,
788014968,,,,,
788023277,243252680,250166962,,,2
793260638,266891820,242314075,,,2
793260639,228473776,238380773,,,2
793328025,210561861,243300961,,,2
793328026,299697199,223043355,,,2
793328173,279828254,253126025,,,2
793513191,242630003,242484098,,,2
793513192,289368392,246911247,,,2
793516908,279473837,238011770,,,2
793516909,289085764,,,,1
793516910,255596834,221552469,,,2
793516911,225930158,236425160,,,2
793516912,215938305,228380039,,,2
793516914,263644502,217207646,,,2
793580797,242316591,230284800,,,2
793580810,234793773,280233478,,,2
793619304,285584306,237677928,,,2
793626671,219023253,263683994,220415758,,3
793626672,236805457,278208413,,,2
796296136,251280117,264788424,,,2
796296139,268616132,252979276,,,2
807824065,242984580,210009339,,,2
807824066,267600831,227803237,,,2
845189149,235477604,238129165,,,2
891098464,233738653,262344758,,,2
891098465,254687614,238084088,,,2
891098466,280891005,268804750,,,2
891098467,273659010,255009565,,,2
891098468,251295615,283974642,,,2
891098476,263372456,274731124,,,2
928769767,212319255,248435741,,,2
935681837,235901551,297944288,,,2
936860686,219143559,217625137,,,2
936860689,259838696,280911089,,,2
936860691,248718764,242651184,,,2
936860692,259197744,,,,1
951316650,272102189,255049573,,,2
951316652,245611681,,,,1
951316654,247565022,,,,1
951316656,297324167,221130974,,,2
951316658,253459061,226834980,,,2
951316662,279887991,264725157,,,2
951316665,247358005,220618466,,,2
951316666,262803221,271869660,,,2
951316667,261815197,262803221,,,2
951316668,253978153,261815197,,,2
956447572,248000665,217809416,,,2
956447573,288348040,240459176,,,2
956447574,281268572,282442036,,,2
962460657,253778103,284098308,,,2
1021308541,271350190,,,,1
1021308542,283029501,271350190,,,2
1021308551,264997097,225459342,,,2
1021308553,238483455,223500404,,,2
1021308555,249965350,243567512,,,2
1021308559,234907245,265297017,,,2
1021308563,289080489,244481732,,,2
1021308564,223379298,289080489,,,2
1021308565,280461654,223379298,,,2
1021308566,244481732,280461654,,,2
1022330926,255709787,211996098,,,2
1022330928,247028627,211996098,,,2
1022330930,221716123,247028627,,,2
1022330931,255709787,221716123,,,2
1022330937,219324510,219238921,,,2
1024438780,275232237,220979184,,,2
1024438784,255636821,283814600,,,2
1024438785,254860690,297541570,,,2
1024438786,229181064,290794628,,,2
1024601323,258881912,256576834,,,2
1024601325,238841524,218162588,,,2
1024621166,267962327,269043218,,,2
1028778652,237007580,,,,1
1028778653,237109819,231421096,,,2
1028778654,292751181,243597412,,,2
1028778667,292590728,,,,1
1030139723,291544932,258116334,,,2
1032440170,243464412,257171944,,,2
1032979810,267445781,236703316,,,2
1038921356,270575400,229630403,,,2
1041550495,222651370,220279619,,,2
1041550497,225455342,275497169,,,2
1041550498,231936306,239505143,,,2
1041550499,222651370,225455342,,,2
1041550510,294453658,231584017,,,2
1041550517,227348843,217172654,,,2
1041550524,268352523,298451779,,,2
1041550527,251899100,241084436,,,2
1041550529,211182599,240945501,,,2
1041550532,229557963,243111384,,,2
1043856171,271364486,252764823,,,2
1044517988,227691603,267934238,,,2
1051373778,258639058,218107552,,,2
1052337806,217958486,264301979,,,2
1072136674,297426940,283962588,,,2
1072865263,277597274,273483266,,,2
1082155269,290541296,222975692,,,2
1082155271,215035940,222975692,,,2
1082358492,267285683,287166568,,,2
1097857651,295884903,218789705,,,2
1097857659,218676593,,,,1
1101523360,256390885,210058408,,,2
1101523362,294425052,254949828,,,2
1101523363,280668231,254995560,,,2
1101523365,217747958,221797607,,,2
1101523373,287564104,245389484,,,2
1101523375,226694841,260542660,,,2
1101523376,287564104,260542660,,,2
1101546461,277144267,288406994,,,2
1102470726,246376494,229227732,,,2
1102470747,226617529,265179955,,,2
1102470764,275949674,288316369,,,2
1102726038,253362631,262077769,,,2
1102726039,237877333,284142378,,,2
1102726042,254954816,217836764,,,2
1102726044,277904212,235241057,,,2
1102726046,242984580,267600831,,,2
1102726047,237557567,234503417,,,2
1102726048,297699042,,,,1
1102726049,272117486,237557567,,,2
1102726051,211397079,279777421,,,2
1102726052,263300752,211397079,,,2
1102726053,292751181,263300752,,,2
1105080308,236119394,263925039,,,2
1105080314,250286168,266326099,,,2
1106972995,224964884,236959579,,,2
1106972997,280638513,215074278,,,2
1106973000,294556094,294092432,,,2
1106973003,220462069,220086171,,,2
1106973007,253167950,271630738,,,2
